Word name	Part of speech	Definition
Bikh	n.	The East Indian name of a virulent poison extracted from Aconitum ferox or other species of aconite: also, the plant itself.
Bilabiate	a.	Having two lips, as the corols of certain flowers.
Bilaciniate	a.	Doubly fringed.
Bilalo	n.	A two-masted passenger boat or small vessel, used in the bay of Manila.
Bilamellate	a.	Alt. of Bilamellated
Bilamellated	a.	Formed of two plates, as the stigma of the Mimulus; also, having two elevated ridges, as in the lip of certain flowers.
Bilaminar	a.	Alt. of Bilaminate
Bilaminate	a.	Formed of, or having, two laminae, or thin plates.
Biland	n.	A byland.
Bilander	n.	A small two-masted merchant vessel, fitted only for coasting, or for use in canals, as in Holland.
Bilateral	a.	Having two sides; arranged upon two sides; affecting two sides or two parties.
Bilateral	a.	Of or pertaining to the two sides of a central area or organ, or of a central axis; as, bilateral symmetry in animals, where there is a similarity of parts on the right and left sides of the body.
Bilaterality	n.	State of being bilateral.
Bilberries	pl.	of Bilberry
Bilberry	n.	The European whortleberry (Vaccinium myrtillus); also, its edible bluish black fruit.
Bilberry	n.	Any similar plant or its fruit; esp., in America, the species Vaccinium myrtilloides, V. caespitosum and V. uliginosum.
Bilboes	pl.	of Bilbo
Bilbo	n.	A rapier; a sword; so named from Bilbao, in Spain.
Bilbo	n.	A long bar or bolt of iron with sliding shackles, and a lock at the end, to confine the feet of prisoners or offenders, esp. on board of ships.
Bilboquet	n.	The toy called cup and ball.
Bilcock	n.	The European water rail.
Bildstein	n.	Same as Agalmatolite.
Bile	n.	A yellow, or greenish, viscid fluid, usually alkaline in reaction, secreted by the liver. It passes into the intestines, where it aids in the digestive process. Its characteristic constituents are the bile salts, and coloring matters.
Bile	n.	Bitterness of feeling; choler; anger; ill humor; as, to stir one's bile.
Bile	n.	A boil.
Bilection	n.	That portion of a group of moldings which projects beyond the general surface of a panel; a bolection.
Bilestone	n.	A gallstone, or biliary calculus. See Biliary.
Bilge	n.	The protuberant part of a cask, which is usually in the middle.
Bilge	n.	That part of a ship's hull or bottom which is broadest and most nearly flat, and on which she would rest if aground.
Bilge	n.	Bilge water.
Bilged	imp. & p. p.	of Bilge
Bilging	p. pr. & vb. n.	of Bilge
Bilge	v. i.	To suffer a fracture in the bilge; to spring a leak by a fracture in the bilge.
Bilge	v. i.	To bulge.
Bilge	v. t.	To fracture the bilge of, or stave in the bottom of (a ship or other vessel).
Bilge	v. t.	To cause to bulge.
Bilgy	a.	Having the smell of bilge water.
Biliary	a.	Relating or belonging to bile; conveying bile; as, biliary acids; biliary ducts.
Biliation	n.	The production and excretion of bile.
Biliferous	a.	Generating bile.
Bilifuscin	n.	A brownish green pigment found in human gallstones and in old bile. It is a derivative of bilirubin.
Bilimbi	n.	Alt. of Bilimbing
Bilimbing	n.	The berries of two East Indian species of Averrhoa, of the Oxalideae or Sorrel family. They are very acid, and highly esteemed when preserved or pickled. The juice is used as a remedy for skin diseases.
Biliment	n.	A woman's ornament; habiliment.
Bilin	n.	A name applied to the amorphous or crystalline mass obtained from bile by the action of alcohol and ether. It is composed of a mixture of the sodium salts of the bile acids.
Bilinear	a.	Of, pertaining to, or included by, two lines; as, bilinear coordinates.
Bilingual	a.	Containing, or consisting of, two languages; expressed in two languages; as, a bilingual inscription; a bilingual dictionary.
Bilingualism	n.	Quality of being bilingual.
Bilinguar	a.	See Bilingual.
Bilinguist	n.	One versed in two languages.
Bilinguous	a.	Having two tongues, or speaking two languages.
Bilious	a.	Of or pertaining to the bile.
Bilious	a.	Disordered in respect to the bile; troubled with an excess of bile; as, a bilious patient; dependent on, or characterized by, an excess of bile; as, bilious symptoms.
Bilious	a.	Choleric; passionate; ill tempered.
Biliousness	n.	The state of being bilious.
Biliprasin	n.	A dark green pigment found in small quantity in human gallstones.
Bilirubin	n.	A reddish yellow pigment present in human bile, and in that from carnivorous and herbivorous animals; the normal biliary pigment.
Biliteral	a.	Consisting of two letters; as, a biliteral root of a Sanskrit verb.
Biliteral	n.	A word, syllable, or root, consisting of two letters.
Biliteralism	n.	The property or state of being biliteral.
Biliverdin	n.	A green pigment present in the bile, formed from bilirubin by oxidation.
Bilked	imp. & p. p.	of Bilk
Bilking	p. pr. & vb. n.	of Bilk
Bilk	v. t.	To frustrate or disappoint; to deceive or defraud, by nonfulfillment of engagement; to leave in the lurch; to give the slip to; as, to bilk a creditor.
Bilk	n.	A thwarting an adversary in cribbage by spoiling his score; a balk.
Bilk	n.	A cheat; a trick; a hoax.
Bilk	n.	Nonsense; vain words.
Bilk	n.	A person who tricks a creditor; an untrustworthy, tricky person.
Bill	n.	A beak, as of a bird, or sometimes of a turtle or other animal.
Billed	imp. & p. p.	of Bill
Billing	p. pr. & vb. n.	of Bill
Bill	v. i.	To strike; to peck.
Bill	v. i.	To join bills, as doves; to caress in fondness.
Bill	n.	The bell, or boom, of the bittern
Bill	n.	A cutting instrument, with hook-shaped point, and fitted with a handle; -- used in pruning, etc.; a billhook. When short, called a hand bill, when long, a hedge bill.
Bill	n.	A weapon of infantry, in the 14th and 15th centuries. A common form of bill consisted of a broad, heavy, double-edged, hook-shaped blade, having a short pike at the back and another at the top, and attached to the end of a long staff.
Bill	n.	One who wields a bill; a billman.
Bill	n.	A pickax, or mattock.
Bill	n.	The extremity of the arm of an anchor; the point of or beyond the fluke.
Bill	v. t.	To work upon ( as to dig, hoe, hack, or chop anything) with a bill.
Bill	n.	A declaration made in writing, stating some wrong the complainant has suffered from the defendant, or a fault committed by some person against a law.
Bill	n.	A writing binding the signer or signers to pay a certain sum at a future day or on demand, with or without interest, as may be stated in the document.
Bill	n.	A form or draft of a law, presented to a legislature for enactment; a proposed or projected law.
Bill	n.	A paper, written or printed, and posted up or given away, to advertise something, as a lecture, a play, or the sale of goods; a placard; a poster; a handbill.
Bill	n.	An account of goods sold, services rendered, or work done, with the price or charge; a statement of a creditor's claim, in gross or by items; as, a grocer's bill.
Bill	n.	Any paper, containing a statement of particulars; as, a bill of charges or expenditures; a weekly bill of mortality; a bill of fare, etc.
Bill	v. t.	To advertise by a bill or public notice.
Bill	v. t.	To charge or enter in a bill; as, to bill goods.
Billage	n. / v. t. & i.	Same as Bilge.
Billard	n.	An English fish, allied to the cod; the coalfish.
Billbeetle	n.	Alt. of Billbug
Billbug	n.	A weevil or curculio of various species, as the corn weevil. See Curculio.
Billboard	n.	A piece of thick plank, armed with iron plates, and fixed on the bow or fore channels of a vessel, for the bill or fluke of the anchor to rest on.
Billboard	n.	A flat surface, as of a panel or of a fence, on which bills are posted; a bulletin board.
Bill book		A book in which a person keeps an account of his notes, bills, bills of exchange, etc., thus showing all that he issues and receives.
Bill broker		One who negotiates the discount of bills.
Billed	a.	Furnished with, or having, a bill, as a bird; -- used in composition; as, broad-billed.
Billet	n.	A small paper; a note; a short letter.
Billet	n.	A ticket from a public officer directing soldiers at what house to lodge; as, a billet of residence.
Billeted	imp. & p. p.	of Billet
Billeting	p. pr. & vb. n.	of Billet
Billet	v. t.	To direct, by a ticket or note, where to lodge. Hence: To quarter, or place in lodgings, as soldiers in private houses.
Billet	n.	A small stick of wood, as for firewood.
Billet	n.	A short bar of metal, as of gold or iron.
Billet	n.	An ornament in Norman work, resembling a billet of wood either square or round.
Billet	n.	A strap which enters a buckle.
Billet	n.	A loop which receives the end of a buckled strap.
Billet	n.	A bearing in the form of an oblong rectangle.
Billets-doux	pl.	of Billet-doux
Billet-doux	n.	A love letter or note.
Billethead	n.	A round piece of timber at the bow or stern of a whaleboat, around which the harpoon lone is run out when the whale darts off.
Billfish	n.	A name applied to several distinct fishes
Billfish	n.	The garfish (Tylosurus, / Belone, longirostris) and allied species.
Billfish	n.	The saury, a slender fish of the Atlantic coast (Scomberesox saurus).
Billfish	n.	The Tetrapturus albidus, a large oceanic species related to the swordfish; the spearfish.
Billfish	n.	The American fresh-water garpike (Lepidosteus osseus).
Billhead	n.	A printed form, used by merchants in making out bills or rendering accounts.
Bill holder		A person who holds a bill or acceptance.
Bill holder		A device by means of which bills, etc., are held.
Billhook	n.	A thick, heavy knife with a hooked point, used in pruning hedges, etc. When it has a short handle, it is sometimes called a hand bill; when the handle is long, a hedge bill or scimiter.
Billiard	a.	Of or pertaining to the game of billiards.
Billiards	n.	A game played with ivory balls o a cloth-covered, rectangular table, bounded by elastic cushions. The player seeks to impel his ball with his cue so that it shall either strike (carom upon) two other balls, or drive another ball into one of the pockets with which the table sometimes is furnished.
Billing	a. & n.	Caressing; kissing.
Billingsgate	n.	A market near the Billings gate in London, celebrated for fish and foul language.
Billingsgate	n.	Coarsely abusive, foul, or profane language; vituperation; ribaldry.
Billion	n.	According to the French and American method of numeration, a thousand millions, or 1,000,000,000; according to the English method, a million millions, or 1,000,000,000,000. See Numeration.
Billmen	pl.	of Billman
Billman	n.	One who uses, or is armed with, a bill or hooked ax.
Billon	n.	An alloy of gold and silver with a large proportion of copper or other base metal, used in coinage.
Billot	n.	Bullion in the bar or mass.
Billow	n.	A great wave or surge of the sea or other water, caused usually by violent wind.
Billow	n.	A great wave or flood of anything.
Billowed	imp. & p. p.	of Billow
Billowing	p. pr. & vb. n.	of Billow
Billow	v. i.	To surge; to rise and roll in waves or surges; to undulate.
Billowy	a.	Of or pertaining to billows; swelling or swollen into large waves; full of billows or surges; resembling billows.
Billposter	n.	Alt. of Billsticker
Billsticker	n.	One whose occupation is to post handbills or posters in public places.
Billy	n.	A club; esp., a policeman's club.
Billy	n.	A slubbing or roving machine.
Billyboy	n.	A flat-bottomed river barge or coasting vessel.
Billy goat		A male goat.
Bilobate	a.	Divided into two lobes or segments.
Bilobed	a.	Bilobate.
Bilocation	n.	Double location; the state or power of being in two places at the same instant; -- a miraculous power attributed to some of the saints.
Bilocular	a.	Divided into two cells or compartments; as, a bilocular pericarp.
Bilsted	n.	See Sweet gum.
Biltong	n.	Lean meat cut into strips and sun-dried.
Bimaculate	a.	Having, or marked with, two spots.
Bimana	n. pl.	Animals having two hands; -- a term applied by Cuvier to man as a special order of Mammalia.
Bimanous	a.	Having two hands; two-handed.
Bimarginate	a.	Having a double margin, as certain shells.
Bimastism	n.	The condition of having two mammae or teats.
Bimedial	a.	Applied to a line which is the sum of two lines commensurable only in power (as the side and diagonal of a square).
Bimembral	a.	Having two members; as, a bimembral sentence.
Bimensal	a.	See Bimonthly, a.
Bimestrial	a.	Continuing two months.
Bimetallic	a.	Of or relating to, or using, a double metallic standard (as gold and silver) for a system of coins or currency.
Bimetallism	n.	The legalized use of two metals (as gold and silver) in the currency of a country, at a fixed relative value; -- in opposition to monometallism.
Bimetallist	n.	An advocate of bimetallism.
Bimonthly	a.	Occurring, done, or coming, once in two months; as, bimonthly visits; bimonthly publications.
Bimonthly	n.	A bimonthly publication.
Bimonthly	adv.	Once in two months.
Bimuscular	a.	Having two adductor muscles, as a bivalve mollusk.
Bin	n.	A box, frame, crib, or inclosed place, used as a receptacle for any commodity; as, a corn bin; a wine bin; a coal bin.
